pricingFile,name,rumName,balanceElementNumCode, genericSelectorResult, impactCategory,zoneResult,timeModelTagName,USAGE_TYPE,USAGE_CLASS,SERVICE_CODE,SERVICE_CLASS
../PreM_BASE_RoamFBI_10_502784_pricing.xml,   DF-C_TRAVEL_10D_1120_0,   TOTAL_VOLUME,458,   Roam_South Korea|Roam_CAMBODIA|Roam_INDONESIA|Roam_SINGAPORE|Roam_MALAYSIA|Roam_INDIA|Roam_Macau|Roam_BANGLADESH|Roam_VIETNAM|Roam_Hong Kong|Roam_CHINA|Roam_THAILAND|Roam_MYANMAR|Roam_Sri Lanka|Roam_JAPAN|Roam_LAOSPEOPLESDR|Roam_AUSTRALIA|Roam_PHILIPPINES|Roam_TAIWAN|Roam_NEW ZEALAND|Roam_PAKISTAN,,,,,,,
../PreM_BASE_RoamFBI_5_502785_pricing.xml,   DF-C_TRAVEL_5D_1120_0,   TOTAL_VOLUME,458,   Roam_MALAYSIA|Roam_AUSTRALIA|Roam_INDONESIA|Roam_SINGAPORE|Roam_THAILAND|Roam_VIETNAM|Roam_CAMBODIA|Roam_MYANMAR,,,,,,,
../PreM_BASE_RoamFBI_ASIA_502940_pricing.xml,   DF-C_ROAMFBI_ASIA_1120_0,   TOTAL_VOLUME,458,   Roam_Hong Kong|Roam_Macau|Roam_CHINA,,,,,,,
../PreM_BASE_RoamFBI_PANASIA_5_502942_pricing.xml,   DF-C_ROAMFBI_PANASIA_1120_0,   TOTAL_VOLUME,458,   Roam_TAIWAN|Roam_NEW ZEALAND|Roam_PAKISTAN|Roam_South Korea|Roam_CAMBODIA|Roam_INDONESIA|Roam_SINGAPORE|Roam_MALAYSIA|Roam_INDIA|Roam_Macau|Roam_BANGLADESH|Roam_VIETNAM|Roam_Hong Kong|Roam_CHINA|Roam_THAILAND|Roam_MYANMAR|Roam_Sri Lanka|Roam_JAPAN|Roam_LAOSPEOPLESDR|Roam_AUSTRALIA|Roam_PHILIPPINES,,,,,,,
../PreM_BASE_RoamFBI_Travel_Global_503027_pricing.xml,   DF-C_ROAMFBI_TRAVEL_1120_0,   TOTAL_VOLUME,458,   Roam_USA OR CANADA|Roam_INDIA|Roam_GREECE|Roam_ALBANIA|Roam_AUSTRIA|Roam_SPAIN|Roam_KUWAIT|Roam_SAUDI ARABIA|Roam_Oman|Roam_QATAR|Roam_Macau|Roam_BANGLADESH|Roam_MALTA|Roam_UNITEDKINGDOM|Roam_IRELAND|Roam_POLAND|Roam_LUXEMBOURG|Roam_TAIWAN|Roam_DENMARK|Roam_SERBIA|Roam_ROMANIA|Roam_Switzerland|Roam_U.A.E|Roam_NEW ZEALAND|Roam_South Africa|Roam_GERMANY|Roam_Czech Republic|Roam_SLOVAK REPUBLIC|Roam_HUNGARY|Roam_CROATIA|Roam_PAKISTAN|Roam_South Korea|Roam_ITALY|Roam_CAMBODIA|Roam_INDONESIA|Roam_SINGAPORE|Roam_PORTUGAL|Roam_MALAYSIA|Roam_VIETNAM|Roam_Hong Kong|Roam_CHINA|Roam_THAILAND|Roam_NETHERLANDS|Roam_MYANMAR|Roam_TURKEY|Roam_MONTENEGRO|Roam_Sri Lanka|Roam_JAPAN|Roam_SWEDEN|Roam_BULGARIA|Roam_BELGIUM|Roam_LAOSPEOPLESDR|Roam_AUSTRALIA|Roam_PHILIPPINES|Roam_Brunei,,,,,,,
../PreM_OCC_Internet_Credit_for_RDY88_Purchase_550840_pricing.xml,   DF-Internet Credit for RDY88 Purchase,   PreCharge,458,,,,,,,,
../PreM_OCC_MyDigi_Rewards_Prepaid_Credit_RM10.00_deno_502936_pricing.xml,   DF-Free Credit for MyDigi Rewards:,   PreCharge,458,,,,,,,,
../PreM_OCC_MyDigi_Rewards_Prepaid_Credit_RM2.00_deno_502933_pricing.xml,   DF-Free Credit for MyDigi Rewards:,   PreCharge,458,,,,,,,,
../PreM_OCC_MyDigi_Rewards_Prepaid_Credit_RM3.00_deno_502934_pricing.xml,   DF-Free Credit for MyDigi Rewards:,   PreCharge,458,,,,,,,,
../PreM_OCC_MyDigi_Rewards_Prepaid_Credit_RM5.00_deno_502935_pricing.xml,   DF-Free Credit for MyDigi Rewards:,   PreCharge,458,,,,,,,,
../PreM_OCC_MyDigi_Rewards_Prepaid_Credit_Refund_RM5.00_deno_503174_pricing.xml,   DF-Free Credit for MyDigi Rewards:,   PreCharge,458,,,,,,,,
../PreM_OCC_RM10_Free_MyDigi_Rewards_Credit_502967_pricing.xml,   DF-Free MyDigi Rewards Credit,   PreCharge,458,,,,,,,,
../PreM_OCC_RM5_Free_MyDigi_Rewards_Credit_502966_pricing.xml,   DF-Free MyDigi Rewards Credit,   PreCharge,458,,,,,,,,
../PreM_QTURC_10GB_Internet_503527_pricing.xml,   DF-Unltd YouTube,   TOTAL_VOLUME,458,400010001,,,,,,,
../PreM_QTURC_10GB_Internet_503527_pricing.xml,   DF-Unltd Social (FB_TikTok_ IMO and IG),   TOTAL_VOLUME,458,   400020001|400020006|400020011|400020013,,,,,,,
../PreM_QTURC_10GB_Internet_503527_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_10GB_Internet_550849_pricing.xml,   DF-C_LOCAL_BASE_100_0,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_15GB_Internet_503528_pricing.xml,   DF-Unltd YouTube,   TOTAL_VOLUME,458,400010001,,,,,,,
../PreM_QTURC_15GB_Internet_503528_pricing.xml,   DF-Unltd Social (FB_TikTok_ IMO and IG),   TOTAL_VOLUME,458,   400020001|400020006|400020011|400020013,,,,,,,
../PreM_QTURC_15GB_Internet_503528_pricing.xml,   DF-Domestic Usage,   TOTAL_VOLUME,458,   HOME|DOM_ROAM,,,,,,,
../PreM_QTURC_20GB_Internet_503446_pricing.xml,   DF-Unltd YouTube,   TOTAL_VOLUME,458,400010001,,,,,,,
